,code,name,type,report_date,pre_eps,range
0,000526,紫光学大,预亏,2014-04-30,0.0098,-199.78
1,000735,罗牛山,预亏,2014-04-30,0.0043,-653.99
2,000752,西藏发展,预减,2014-04-30,0.5183,-97%~-95%
3,000605,渤海股份,预增,2014-04-30,0.0026,1589.33%~2083.77%
4,300277,海联讯,预亏,2014-04-30,0.0074,0
5,000611,*ST天首,预亏,2014-04-30,-0.013,0
6,000033,*ST新都,预亏,2014-04-30,-0.0148,-23.17%~-2.64%
7,000520,长航凤凰,预盈,2014-04-30,-0.2818,106.31%~111.57%
8,000403,ST生化,预增,2014-04-30,0.09,343.72%~383.34%
9,600398,海澜之家,预增,2014-04-29,0.06,90.37
10,000638,万方发展,预亏,2014-04-29,0.0045,-740.84%~-598.43%
11,000506,中润资源,预亏,2014-04-29,0.0597,0
12,000096,广聚能源,预盈,2014-04-29,-0.0124,359.94
13,000422,湖北宜化,预减,2014-04-29,0.117,-60%~-50%
14,000415,渤海金控,预增,2014-04-29,0.0858,64.45%~93.85%
15,000668,荣丰控股,预亏,2014-04-28,0.01,-1170%~-928%
16,000953,河池化工,预亏,2014-04-28,0.0145,-1033.97%~-800.48%
17,002027,分众传媒,减亏,2014-04-28,-0.03,0
18,002150,通润装备,预升,2014-04-28,0.04,0%~10%
19,002163,中航三鑫,减亏,2014-04-28,-0.05,0
20,002239,奥特佳,预减,2014-04-28,0.15,-96%~-92%
21,002263,大东南,减亏,2014-04-28,-0.016,0
22,002377,国创高新,预亏,2014-04-28,-0.027,0
23,002440,闰土股份,预增,2014-04-28,0.27,218.82%~247.81%
24,002617,露笑科技,预亏,2014-04-28,0.07,0
25,002623,亚玛顿,预增,2014-04-28,0.05,97.74%~132.64%
26,002098,浔兴股份,预盈,2014-04-26,-0.02,0
27,002006,精功科技,预盈,2014-04-26,-0.07,0
28,002211,宏达新材,预盈,2014-04-26,-0.05,0
29,000627,天茂集团,预盈,2014-04-26,-0.004,0
30,000700,模塑科技,预增,2014-04-26,0.0779,200%~250%
31,000158,常山股份,预亏,2014-04-26,-0.025,-28.56%~-11.79%
32,000615,京汉股份,预盈,2014-04-26,-0.03,0
33,000589,黔轮胎A,预增,2014-04-26,0.07,40%~60%
34,002066,瑞泰科技,预增,2014-04-26,0.0092,88%~135%
35,002420,毅昌股份,预亏,2014-04-26,0.0114,0
36,000609,绵石投资,减亏,2014-04-25,-0.0195,31.03%~48.27%
37,002157,正邦科技,预亏,2014-04-25,0.05,0
38,002184,海得控制,预盈,2014-04-25,-0.0755,0
39,600086,东方金钰,预减,2014-04-25,0.2974,-65%~-55%
40,300183,东软载波,预降,2014-04-25,0.27,0
41,300137,先河环保,预盈,2014-04-25,-0.01,214%~242%
42,000809,铁岭新城,预亏,2014-04-25,-0.0454,-24.2%~-12.18%
43,000010,美丽生态,预亏,2014-04-25,-0.03,0
44,000676,智度股份,预亏,2014-04-25,-0.0208,-205%~-52.8%
45,000718,苏宁环球,预减,2014-04-25,0.14,-92.48%~-90.69%
46,300312,邦讯技术,预亏,2014-04-25,0.1001,0
47,000733,振华科技,预增,2014-04-25,0.05,50%~70%
48,000723,美锦能源,预降,2014-04-25,0.12,-70.61%~-41.21%
49,000693,ST华泽,减亏,2014-04-25,-0.0474,85.26%~87.71%
50,002110,三钢闽光,预亏,2014-04-25,0.047,-290%~-250%
51,002549,凯美特气,预升,2014-04-25,0.04,0%~30%
52,000620,新华联,预减,2014-04-25,0.08,-92%~-84%
53,002639,雪人股份,预亏,2014-04-24,0.0458,0
54,002053,云南能投,预升,2014-04-24,0.043,50%
55,600710,*ST常林,减亏,2014-04-23,-0.07,0
56,600027,华电国际,预升,2014-04-23,0.11,45%~50%
57,600806,*ST昆机,预亏,2014-04-23,-0.01,-348
58,002609,捷顺科技,减亏,2014-04-23,-0.0421,0
59,300316,晶盛机电,预降,2014-04-23,0.14,-20%~0%
60,000925,众合科技,预亏,2014-04-23,-0.006,-107.25%~-55.44%
61,300180,华峰超纤,预增,2014-04-23,0.08,70.97
62,002114,罗平锌电,减亏,2014-04-23,-0.21,0
63,002679,福建金森,预亏,2014-04-23,-0.08,0
64,002043,兔宝宝,预亏,2014-04-23,0.001,0
65,002259,升达林业,预亏,2014-04-23,-0.01,0
66,002086,东方海洋,预减,2014-04-23,,
