,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
0,300333,兆日科技,39.0837,36.0458,2743.7393,-305.8648,98.2915,1.7085
1,300377,赢时胜,75.5499,75.5499,4935.1852,-1330.1756,98.2804,1.7196
2,300223,北京君正,101.2106,94.0371,596.7983,-579.2697,97.9626,2.0374
3,002515,金字火腿,28.8981,19.2246,72.5236,-531.4359,97.8529,2.1471
4,002621,三垒股份,40.4758,36.5843,1509.6563,-175.1299,97.8392,2.1608
5,002348,高乐股份,19.2815,16.5266,1066.4012,-360.3497,97.2051,2.7949
6,000831,*ST五稀,30.9312,13.9239,922.6397,1133.5968,96.9705,3.0295
7,603696,安记食品,22.6834,20.0191,1717.1783,-1280.5385,96.9026,3.0974
8,300485,赛升药业,26.8756,25.9354,277.7825,-18973.9484,96.9016,3.0984
9,300149,量子高科,21.295,20.1889,435.1,-19921.9673,96.8234,3.1766
10,600527,江南高纤,25.2555,16.3489,1216.7164,-406.1037,96.7615,3.2385
11,600193,创兴资源,5.1617,5.1617,435.1313,-2007.7612,96.6978,3.3022
12,002038,双鹭药业,27.4451,25.6095,1060.0585,-3179.7412,96.6025,3.3975
13,002015,霞客环保,19.5501,13.3909,447.1587,5051.7102,96.5262,3.4738
14,300235,方直科技,23.394000000000002,22.3808,569.6003,-4712.305,96.4203,3.5797
15,300494,盛天网络,24.4402,24.4259,2272.7929999999997,-1146.1317,96.2886,3.7114
16,300445,康斯特,18.3062,16.2896,1341.4825,-874.1225,96.2194,3.7806
17,300042,朗科科技,18.9809,17.8095,783.9283,-115.5746,96.0497,3.9503
18,300305,裕兴股份,27.8693,26.7331,1247.4626,-721.6375,95.7712,4.2288
19,300346,南大光电,40.3389,36.2832,887.6926,-8.8281,95.4865,4.5135
20,300357,我武生物,20.0127,19.5459,998.9212,-2686.4824,95.4778,4.5222
21,002575,群兴玩具,7.4376,5.9759,264.0681,-1737.4667,95.4525,4.5475
22,300191,潜能恒信,19.5645,19.5645,1771.5145,-31.6956,95.3188,4.6812
23,002280,联络互动,16.9676,16.6674,269.4844,-3313.2042,95.2605,4.7395
24,000697,炼石有色,10.6262,10.3103,382.9662,501.4723,95.1064,4.8936
25,600610,中毅达,19.2566,1.1675,20.0018,-1078.1112,95.028,4.972
26,002195,二三四五,11.5778,11.5649,766.1813,-358.9641,94.9729,5.0271
27,300488,恒锋工具,16.509,14.3354,574.7223,-11089.6869,94.9723,5.0277
28,000408,*ST金源,19.8206,19.8206,1982.0623,484.0913,94.9547,5.0453
29,000503,海虹控股,14.5694,14.5665,683.4744,1097.0279,94.9024,5.0976
30,002007,华兰生物,12.9414,9.3505,190.047,-2687.0311,94.8274,5.1726
31,300107,建新股份,10.4362,9.3435,377.1191,-589.1621,94.8067,5.1933
32,002495,佳隆股份,7.6896,6.9465,617.8891,-2770.7564,94.8065,5.1935
33,600506,香梨股份,23.5944,22.2947,456.1847,1884.8113,94.4815,5.5185
34,000563,陕国投A,3.5488,3.5488,245.6363,--,94.4457,5.5543
35,603099,长白山,8.3044,8.0722,649.6054,1215.9353,94.4303,5.5697
36,002365,永安药业,11.824000000000002,10.886,173.1141,-2222.6563,94.3183,5.6817
37,002351,漫步者,15.6252,13.9806,230.2065,80687.6124,94.2888,5.7112
38,300394,天孚通信,12.152000000000001,11.2356,454.0081,-2129.2305,94.1759,5.8241
39,300306,远方光电,12.594000000000001,11.9322,1110.3506,-110.2848,94.0298,5.9702
40,300122,智飞生物,16.2889,14.8086,926.0262,-28.5004,93.9957,6.0043
41,300267,尔康制药,11.200999999999999,7.8162,434.6784,-3663.2267,93.8798,6.1202
42,300148,天舟文化,3.6076,3.4091,213.1048,-4045.2121,93.7686,6.2314
43,000975,银泰资源,4.5232,4.2101,194.7144,5850.9771,93.7446,6.2554
44,300406,九强生物,15.9321,14.3546,888.3979,-1651.3893,93.6109,6.3891
45,300200,高盟新材,13.6672,12.2148,183.3511,-1327.4538,93.5614,6.4386
46,600576,万家文化,6.2946,6.2871,97.7347,-24459.1781,93.5083,6.4917
47,600212,*ST江泉,4.6019,4.5304,121.9077,83037.1304,93.4839,6.5161
48,002148,北纬通信,6.6201,6.5144,310.5846,-1603.3724,93.448,6.552
49,000971,高升控股,3.1774,3.1774,169.5989,-13402.7581,93.4285,6.5715
50,603969,银龙股份,14.9422,12.4706,354.10400000000004,-390.8586,93.3879,6.6121
51,300076,GQY视讯,11.0658,10.2605,673.8694,84.6161,93.303,6.697
52,300518,盛讯达,27.2159,27.2154,2476.351,-6279.0479,93.2568,6.7432
53,603688,石英股份,10.3328,8.6909,419.4536,-1918.7367,93.2277,6.7723
54,000096,广聚能源,10.3934,10.1904,862.8057,-605.2066,93.193,6.807
55,300099,尤洛卡,8.9638,7.6576,313.047,-36.8313,93.1834,6.8166
56,300359,全通教育,5.0273,4.9719999999999995,191.7953,-2867.6465,93.1818,6.8182
57,300417,南华仪器,13.1086,11.3379,731.9511,-315.4041,93.1372,6.8628
58,000722,湖南发展,10.7975,10.2995,463.7099,4129.4208,93.0654,6.9346
59,002410,广联达,7.4603,7.4102,670.2056,-1296.073,92.9709,7.0291
60,002322,理工环科,6.5545,5.4373,351.9574,-599.9726,92.9587,7.0413
61,300314,戴维医疗,8.4404,7.2115,234.3051,-4955.7951,92.9249,7.0751
62,300139,晓程科技,7.2765,5.5296,211.5265,74.2397,92.9042,7.0958
63,300474,景嘉微,17.0511,15.4169,839.4069,-56510.2803,92.8997,7.1003
64,300018,中元股份,10.3244,9.448,545.0538,-449.0721,92.8966,7.1034
65,300127,银河磁体,11.3198,10.0392,311.7654,-1519.4575,92.7573,7.2427
66,002802,洪汇新材,13.6534,13.1676,1072.0093,-7886.1693,92.7123,7.2877
67,002349,精华制药,5.6946,4.4287,271.0067,-1089.1957,92.6516,7.3484
68,300481,濮阳惠成,9.3534,8.1121,270.8381,-1908.9098,92.6079,7.3921
69,002141,蓉胜超微,11.4114,10.5442,170.21200000000002,469.6961,92.5353,7.4647
70,002540,亚太科技,9.6166,8.4207,107.4787,-23687.875,92.5299,7.4701
71,002320,海峡股份,9.9814,9.8618,914.6747,16877.8454,92.5265,7.4735
72,002224,三力士,8.6499,7.6861,508.8114,-1328.2639,92.4562,7.5438
73,300371,汇中股份,8.8429,6.7529,371.7681,-619.6818,92.4545,7.5455
74,002553,南方轴承,8.0208,6.8974,150.9116,-3370.2631,92.4245,7.5755
75,603025,大豪科技,10.783,9.7094,131.9998,-15727.6811,92.3828,7.6172
76,300508,维宏股份,10.1531,9.4778,851.7757,-4257.1906,92.3726,7.6274
77,603508,思维列控,11.4695,10.4148,370.94599999999997,-1245.914,92.3466,7.6534
78,300530,达志科技,14.9997,13.9589,1122.3825,-21874.2574,92.2614,7.7386
79,300399,京天利,11.0112,10.804,537.6828,-1800.8470000000002,92.2513,7.7487
80,300150,世纪瑞尔,11.3656,9.9794,672.1702,1.689,92.2426,7.7574
81,600847,万里股份,11.2715,9.5376,316.0369,733.3014,92.234,7.766
82,603398,邦宝益智,10.3398,9.2012,176.4744,-6056.7938,92.2248,7.7752
83,300016,北陆药业,11.2527,9.7589,426.6353,-9696.8928,92.2083,7.7917
84,600883,博闻科技,12.527000000000001,12.3369,738.0055,340.3022,92.0543,7.9457
85,300214,日科化学,7.8692,6.7413,109.2432,-1247.0657,92.0444,7.9556
86,002581,未名医药,9.1625,8.7037,570.0293,-5801.6835,92.0349,7.9651
87,300239,东宝生物,9.6848,7.3297,447.5688,-3631.0211,91.8694,8.1306
88,300428,四通新材,11.2899,9.3148,323.5009,-3238.2979,91.8161,8.1839
89,603601,再升科技,10.4689,10.0723,903.1326,-7384.7146,91.7648,8.2352
90,603518,维格娜丝,11.8469,9.3971,289.6815,-649.17,91.6636,8.3364
91,300354,东华测试,13.3688,10.5367,448.9303,-212.6628,91.6165,8.3835
92,300307,慈星股份,9.0327,7.5365,253.0732,-358.0985,91.5748,8.4252
93,300077,国民技术,9.8432,9.046,179.2381,-975.4846,91.5706,8.4294
94,000662,天夏智慧,3.253,3.1311,156.4067,-2382.4459,91.407,8.593
95,000592,平潭发展,11.2256,6.9004,264.2117,-112.8726,91.3832,8.6168
96,300183,东软载波,10.4063,9.8711,662.3906,-1294.4059,91.3727,8.6273
97,002389,南洋科技,4.9616,4.0742,29.6646,1851.533,91.3522,8.6478
98,002756,永兴特钢,9.4094,8.4623,219.7792,-5674.799,91.3389,8.6611
