,code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
0,600605,汇通能源,3.632,99.1189,51129.0549,0.007,2.5745,139.833
1,002649,博彦科技,1.9325,186.2872,23207.4165,0.0155,0.6706,536.8327
2,002039,黔源电力,4.5379,79.3318,2176.845,0.1654,1.2123,296.9562
3,300071,华谊嘉信,1.1266,319.5455,1802.8735,0.1997,0.8597,418.7507
4,002400,省广股份,3.3316,108.0562,1703.8636,0.2113,1.0001,359.964
5,000415,渤海金控,5.3776,66.9444,1345.3367,0.2676,0.2798,1286.6333
6,000068,华控赛格,0.1161,3100.7752,1250.6768,0.2878,0.0717,5020.9205
7,600897,厦门空港,3.0646,117.4705,1013.5346,0.3552,0.4367,824.3646
8,600270,外运发展,2.5742,139.8493,676.0081,0.5325,0.5248,685.9756
9,300013,新宁物流,2.04,176.4706,488.3359,0.7372,0.6221,578.6851
10,300170,汉得信息,1.1291,318.838,331.792,1.085,0.371,970.3504
11,000089,深圳机场,3.4556,104.1787,326.4506,1.1028,0.7849,458.6572
12,300347,泰格医药,1.375,261.8182,294.8303,1.221,0.3357,1072.3861
13,002238,天威视讯,10.1727,35.3888,288.3321,1.2486,0.57,631.5789
14,600995,文山电力,38.181,9.4288,261.4989,1.3767,3.0124,119.506
15,601519,大智慧,3.3245,108.287,231.4832,1.5552,0.1969,1828.3393
16,600452,涪陵电力,470.0861,0.7658,224.2308,1.6055,6.6685,53.9852
17,600221,海南航空,32.9278,10.933,221.3799,1.6262,0.671,536.5127
18,002148,北纬通信,1.7108,210.4279,190.5213,1.8896,0.2701,1332.8397
19,600131,岷江水电,54.5789,6.596,187.9218,1.9157,1.5783,228.0935
20,000791,甘肃电投,4.6331,77.7018,134.9338,2.668,0.7862,457.8988
21,600505,西昌电力,6.452,55.7967,131.8783,2.7298,1.2697,283.5315
22,300215,电科院,18.7368,19.2135,131.5697,2.7362,0.6788,530.3477
23,002210,飞马国际,16.5717,21.7238,125.8465,2.8606,0.9447,381.0734
24,600168,武汉控股,1.7673,203.7006,120.7172,2.9822,0.4663,772.0352
25,300383,光环新网,5.2512,68.5558,120.3711,2.9908,0.7774,463.0821
26,601518,吉林高速,,,117.0335,3.076,0.327,1100.9174
27,600012,皖通高速,,,115.7344,3.1106,0.7332,490.9984
28,000507,珠海港,4.6111,78.0725,111.9114,3.2168,0.7435,484.1964
29,603000,人民网,1.7899,201.1286,99.1318,3.6315,0.2864,1256.9832
30,300052,中青宝,2.3768,151.4642,98.2126,3.6655,0.4693,767.0999
31,300379,东方通,0.3531,1019.5412,88.6511,4.0609,0.2092,1720.8413
32,600556,慧球科技,3.8058,94.5925,87.5013,4.1142,0.3864,931.677
33,002195,二三四五,5.6952,63.2111,84.9788,4.2364,0.6315,570.0713
34,600009,上海机场,3.0061,119.7565,83.8928,4.2912,0.3391,1061.6337
35,603885,吉祥航空,21.1532,17.0187,81.422,4.4214,2.2904,157.1778
36,002081,金螳螂,0.7574,475.3103,79.1241,4.5498,0.5322,676.4374
37,000916,华北高速,9.1178,39.4832,77.0306,4.6735,0.1707,2108.9631
38,300144,宋城演艺,44.516,8.087,75.4737,4.7699,0.3645,987.6543
39,002315,焦点科技,26.1895,13.746,73.5734,4.8931,0.1438,2503.4771
40,002492,恒基达鑫,3.2522,110.6943,73.1633,4.9205,0.3299,1091.2398
41,000061,农产品,13.2118,27.2484,70.8473,5.0814,0.2773,1298.233
42,600652,游久游戏,4.6527,77.3744,69.8615,5.1531,1.0159,354.3656
43,601021,春秋航空,39.5125,9.111,69.5134,5.1789,1.6829,213.9165
44,600865,百大集团,36.6447,9.8241,63.0587,5.709,0.2937,1225.7406
45,600617,国新能源,14.876,24.2001,59.4224,6.0583,1.1957,301.0789
46,000610,西安旅游,9.768,36.855,55.9877,6.43,1.2951,277.9708
47,600033,福建高速,2.187,164.6091,51.8104,6.9484,1.2824,280.7236
48,002739,万达院线,43.1565,8.3417,49.9294,7.2102,1.4886,241.838
49,000503,海虹控股,35.1696,10.2361,49.0723,7.3361,0.089,4044.9438
50,600640,号百控股,4.5517,79.0913,47.9049,7.5149,0.4483,803.0337
51,600258,首旅酒店,20.8713,17.2486,46.2193,7.789,2.0577,174.9526
52,000516,国际医学,53.5094,6.7278,45.7061,7.8764,1.6749,214.9382
53,601008,连云港,5.5662,64.6761,44.3112,8.1244,0.8066,446.3179
54,002325,洪涛股份,0.6527,551.5551,43.4411,8.2871,0.5123,702.7133
55,603128,华贸物流,3.5247,102.1364,41.8643,8.5992,1.5263,235.8645
56,601111,中国国航,15.6722,22.9706,39.9027,9.0219,2.1436,167.9418
