日期,股票,数量,持仓,收盘价,收益
2013-02-01,Cash,,50000,,
2013-02-04,Cash,,50000,,
2013-02-05,Cash,,50000,,
2013-02-06,Cash,,50000,,
2013-02-07,Cash,,50000,,
2013-02-08,Cash,,50000,,
2013-02-18,Cash,,50000,,
2013-02-19,Cash,,50000,,
2013-02-20,Cash,,50000,,
2013-02-21,Cash,,50000,,
2013-02-22,Cash,,50000,,
2013-02-25,Cash,,50000,,
2013-02-26,Cash,,50000,,
2013-02-27,Cash,,50000,,
2013-02-28,Cash,,50000,,
2013-03-01,Cash,,50000,,
2013-03-04,Cash,,50000,,
2013-03-05,Cash,,50000,,
2013-03-06,Cash,,50000,,
2013-03-07,Cash,,50000,,
2013-03-08,Cash,,50000,,
2013-03-11,Cash,,50000,,
2013-03-12,Cash,,50000,,
2013-03-13,Cash,,50000,,
2013-03-14,Cash,,50000,,
2013-03-15,Cash,,50000,,
2013-03-18,南方中证500ETF(510500.XSHG),2900,9870.15,3.404,-43.21
2013-03-18,Cash,,40081.64,,
2013-03-19,南方中证500ETF(510500.XSHG),2900,9932.21,3.425,18.85
2013-03-19,Cash,,40081.64,,
2013-03-20,南方中证500ETF(510500.XSHG),2900,10190.89,3.514,277.53
2013-03-20,Cash,,40081.64,,
2013-03-21,南方中证500ETF(510500.XSHG),2900,10294.42,3.55,381.06
2013-03-21,Cash,,40081.64,,
2013-03-22,南方中证500ETF(510500.XSHG),3100,11048.4,3.564,423.5
2013-03-22,Cash,,39365.1,,
2013-03-25,南方中证500ETF(510500.XSHG),3300,11725.89,3.553,388.73
2013-03-25,Cash,,38647.84,,
2013-03-26,南方中证500ETF(510500.XSHG),3500,12311.95,3.518,267.55
2013-03-26,Cash,,37935.6,,
2013-03-27,南方中证500ETF(510500.XSHG),3500,12349.4,3.528,305
2013-03-27,Cash,,37935.6,,
2013-03-28,南方中证500ETF(510500.XSHG),3700,12698.4,3.432,-35.38
2013-03-28,Cash,,37241.22,,
2013-03-29,南方中证500ETF(510500.XSHG),3700,12711.72,3.436,-22.06
2013-03-29,Cash,,37241.22,,
2013-04-01,南方中证500ETF(510500.XSHG),3700,12777.58,3.453,43.8
2013-04-01,Cash,,37241.22,,
2013-04-02,南方中证500ETF(510500.XSHG),3900,13315.38,3.414,-102.08
2013-04-02,Cash,,36552.54,,
2013-04-03,南方中证500ETF(510500.XSHG),4100,13910.48,3.393,-183.52
2013-04-03,Cash,,35871,,
2013-04-08,南方中证500ETF(510500.XSHG),4100,13939.59,3.4,-154.41
2013-04-08,Cash,,35871,,
2013-04-09,南方中证500ETF(510500.XSHG),4300,14757.6,3.432,-22.94
2013-04-09,Cash,,35179.46,,
2013-04-10,南方中证500ETF(510500.XSHG),4300,14711.59,3.421,-68.95
2013-04-10,Cash,,35179.46,,
2013-04-11,南方中证500ETF(510500.XSHG),4300,14681.06,3.414,-99.48
2013-04-11,Cash,,35179.46,,
2013-04-12,南方中证500ETF(510500.XSHG),4300,14558.51,3.386,-222.03
2013-04-12,Cash,,35179.46,,
2013-04-15,南方中证500ETF(510500.XSHG),4600,15295,3.325,-483.19
2013-04-15,Cash,,34176.81,,
2013-04-16,南方中证500ETF(510500.XSHG),4600,15475.78,3.364,-302.41
2013-04-16,Cash,,34176.81,,
2013-04-17,南方中证500ETF(510500.XSHG),4800,16285.44,3.393,-171.43
2013-04-17,Cash,,33493.13,,
2013-04-18,南方中证500ETF(510500.XSHG),5000,17017.5,3.404,-121.63
2013-04-18,Cash,,32805.87,,
2013-04-19,南方中证500ETF(510500.XSHG),5200,18068.96,3.475,233.29
2013-04-19,Cash,,32104.33,,
2013-04-22,南方中证500ETF(510500.XSHG),5400,18880.02,3.496,348.53
2013-04-22,Cash,,31403.51,,
2013-04-23,南方中证500ETF(510500.XSHG),5600,19019.84,3.396,-195.33
2013-04-23,Cash,,30714.83,,
2013-04-24,南方中证500ETF(510500.XSHG),5800,20091.78,3.464,185.09
2013-04-24,Cash,,30018.31,,
2013-04-25,南方中证500ETF(510500.XSHG),5800,19843.54,3.421,-63.15
2013-04-25,Cash,,30018.31,,
2013-04-26,南方中证500ETF(510500.XSHG),6000,20185.8,3.364,-396.73
2013-04-26,Cash,,29337.47,,
2013-05-02,南方中证500ETF(510500.XSHG),6000,20250,3.375,-332.53
2013-05-02,Cash,,29337.47,,
2013-05-03,南方中证500ETF(510500.XSHG),6200,21367.06,3.446,94.43
2013-05-03,Cash,,28642.37,,
2013-05-06,南方中证500ETF(510500.XSHG),6400,22444.8,3.507,469.91
2013-05-06,Cash,,27935.11,,
2013-05-07,南方中证500ETF(510500.XSHG),6600,23193.06,3.514,515.21
2013-05-07,Cash,,27227.15,,
2013-05-08,南方中证500ETF(510500.XSHG),6800,24138.64,3.55,752.09
2013-05-08,Cash,,26513.45,,
2013-05-09,南方中证500ETF(510500.XSHG),7000,24848.6,3.55,753.35
2013-05-09,Cash,,25799.75,,
2013-05-10,南方中证500ETF(510500.XSHG),7200,25712.64,3.571,902.99
2013-05-10,Cash,,25080.35,,
2013-05-13,南方中证500ETF(510500.XSHG),7400,26506.06,3.582,979.15
2013-05-13,Cash,,24358.09,,
2013-05-14,南方中证500ETF(510500.XSHG),7600,26923.76,3.543,687.45
