时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出,stock_price
2013-02-01 00:00:00,2.1,0,0,0,0,0,
2013-02-04 00:00:00,2.28,0,0,0,0,0,
2013-02-05 00:00:00,3.16,0,0,0,0,0,
2013-02-06 00:00:00,3.31,0,0,0,0,0,
2013-02-07 00:00:00,2.72,0,0,0,0,0,
2013-02-08 00:00:00,3.16,0,0,0,0,0,
2013-02-18 00:00:00,1.88,0,0,0,0,0,
2013-02-19 00:00:00,-0.05,0,0,0,0,0,
2013-02-20 00:00:00,0.59,0,0,0,0,0,
2013-02-21 00:00:00,-2.84,0,0,0,0,0,
2013-02-22 00:00:00,-3.36,0,0,0,0,0,
2013-02-25 00:00:00,-3.05,0,0,0,0,0,
2013-02-26 00:00:00,-4.44,0,0,0,0,0,
2013-02-27 00:00:00,-3.43,0,0,0,0,0,
2013-02-28 00:00:00,-0.5,0,0,0,0,0,
2013-03-01 00:00:00,-0.67,0,0,0,0,0,
2013-03-04 00:00:00,-5.25,0,0,0,0,0,
2013-03-05 00:00:00,-2.38,0,0,0,0,0,
2013-03-06 00:00:00,-1.37,0,0,0,0,0,
2013-03-07 00:00:00,-2.51,0,0,0,0,0,
2013-03-08 00:00:00,-2.98,0,0,0,0,0,
2013-03-11 00:00:00,-3.52,0,0,0,0,0,
2013-03-12 00:00:00,-4.89,0,0,0,0,0,
2013-03-13 00:00:00,-5.93,0,0,0,0,0,
2013-03-14 00:00:00,-5.68,0,0,0,0,0,
2013-03-15 00:00:00,-5.47,0,0,0,0,0,3.457
2013-03-18 00:00:00,-6.86,-0.1,0,-48.21,9913.36,0,3.4035
2013-03-19 00:00:00,-6.02,0.03,62.06,0,0,0,3.4249
2013-03-20 00:00:00,-2.85,0.55,258.68,0,0,0,3.5177
2013-03-21 00:00:00,-2.68,0.75,103.53,0,0,0,3.5498
2013-03-22 00:00:00,-2.55,0.83,37.44,0,711.54,0,3.564
2013-03-25 00:00:00,-2.75,0.75,0,-39.77,712.26,0,3.5462
2013-03-26 00:00:00,-4.16,0.5,0,-126.18,707.24,0,3.5177
2013-03-27 00:00:00,-3.85,0.57,37.45,0,0,0,3.5284
2013-03-28 00:00:00,-6.98,-0.12,0,-345.38,689.38,0,3.432
2013-03-29 00:00:00,-7.14,-0.09,13.32,0,0,0,3.4356
2013-04-01 00:00:00,-7.21,0.04,65.86,0,0,0,3.4534
2013-04-02 00:00:00,-7.46,-0.26,0,-150.88,683.68,0,3.4142
2013-04-03 00:00:00,-7.57,-0.44,0,-86.44,676.54,0,3.3892
2013-04-08 00:00:00,-7.99,-0.38,29.11,0,0,0,3.3999
2013-04-09 00:00:00,-7.35,-0.13,126.47,0,686.54,0,3.4356
2013-04-10 00:00:00,-7.5,-0.22,0,-46.01,0,0,3.4178
2013-04-11 00:00:00,-7.78,-0.28,0,-30.53,0,0,3.4142
2013-04-12 00:00:00,-8.37,-0.52,0,-122.55,0,0,3.3785
2013-04-15 00:00:00,-9.31,-1.06,0,-266.16,997.65,0,3.325
2013-04-16 00:00:00,-8.46,-0.69,180.78,0,0,0,3.3678
2013-04-17 00:00:00,-8.5,-0.44,125.98,0,678.68,0,3.3928
2013-04-18 00:00:00,-8.26,-0.35,44.8,0,682.26,0,3.4035
2013-04-19 00:00:00,-5.7,0.35,349.92,0,696.54,0,3.4748
2013-04-22 00:00:00,-5.81,0.57,110.24,0,695.82,0,3.4963
2013-04-23 00:00:00,-8.84,-0.53,0,-548.86,683.68,0,3.3964
2013-04-24 00:00:00,-7.12,0.22,375.42,0,691.52,0,3.4641
2013-04-25 00:00:00,-8.15,-0.28,0,-248.24,0,0,3.4213
2013-04-26 00:00:00,-8.92,-0.95,0,-338.58,675.84,0,3.3571
2013-05-02 00:00:00,-8.83,-0.83,64.2,0,0,0,3.375
2013-05-03 00:00:00,-7.22,0.02,421.96,0,690.1,0,3.4463
2013-05-06 00:00:00,-5.99,0.76,370.48,0,702.26,0,3.5105
2013-05-07 00:00:00,-5.84,0.84,40.3,0,702.96,0,3.5105
2013-05-08 00:00:00,-5.36,1.3,231.88,0,708.7,0,3.5498
2013-05-09 00:00:00,-5.92,1.3,0,-3.74,708.7,0,3.5533
2013-05-10 00:00:00,-5.44,1.59,144.64,0,714.4,0,3.5712
2013-05-13 00:00:00,-5.81,1.73,71.16,0,717.26,0,3.5819
2013-05-14 00:00:00,-7.2,1.13,0,-296.7,709.4,0,3.5426
2013-05-15 00:00:00,-6.7,1.94,404.28,0,716.54,0,3.5926
2013-05-16 00:00:00,-4.99,2.55,302.78,0,725.84,0,3.6318
2013-05-17 00:00:00,-3.53,3.33,392.58,0,738.68,0,3.6853
2013-05-20 00:00:00,-2.88,4.08,374.56,0,747.26,0,3.7317
2013-05-21 00:00:00,-2.68,4.8,356.44,0,752.98,0,3.7745
2013-05-22 00:00:00,-2.56,4.29,0,-251.22,1494.52,0,3.746
2013-05-23 00:00:00,-3.87,3.76,0,-266.9,747.98,0,3.7174
2013-05-24 00:00:00,-3.34,4.74,487.92,0,754.4,0,3.771
2013-05-27 00:00:00,-3.25,5.39,329.4,0,761.56,0,3.8066
2013-05-28 00:00:00,-1.58,5.66,130.62,0,765.84,0,3.8173
2013-05-29 00:00:00,-1.65,6.06,203.78,0,769.4,0,3.8423
2013-05-30 00:00:00,-1.96,6.26,100.34,0,772.26,0,3.853
2013-05-31 00:00:00,-2.99,5.95,0,-154.66,771.54,0,3.8387
2013-06-03 00:00:00,-3.14,5.44,0,-258.96,0,0,3.8066
2013-06-04 00:00:00,-4.51,3.79,0,-822.32,747.98,0,3.7317
2013-06-05 00:00:00,-4.7,4.1,151.58,0,0,0,3.746
2013-06-06 00:00:00,-5.92,2.64,0,-728.88,741.56,0,3.6853
