日期,时间,股票,交易类型,数量,成交价,成交额,交易佣金
2013-03-18,14:30,南方中证500ETF(510500.XSHG),买,2900,3.418,9913.36,5
2013-03-22,14:30,南方中证500ETF(510500.XSHG),买,200,3.558,711.54,5
2013-03-25,14:30,南方中证500ETF(510500.XSHG),买,200,3.561,712.26,5
2013-03-26,14:30,南方中证500ETF(510500.XSHG),买,200,3.536,707.24,5
2013-03-28,14:30,南方中证500ETF(510500.XSHG),买,200,3.447,689.38,5
2013-04-02,14:30,南方中证500ETF(510500.XSHG),买,200,3.418,683.68,5
2013-04-03,14:30,南方中证500ETF(510500.XSHG),买,200,3.383,676.54,5
2013-04-09,14:30,南方中证500ETF(510500.XSHG),买,200,3.433,686.54,5
2013-04-15,14:30,南方中证500ETF(510500.XSHG),买,300,3.326,997.65,5
2013-04-17,14:30,南方中证500ETF(510500.XSHG),买,200,3.393,678.68,5
2013-04-18,14:30,南方中证500ETF(510500.XSHG),买,200,3.411,682.26,5
2013-04-19,14:30,南方中证500ETF(510500.XSHG),买,200,3.483,696.54,5
2013-04-22,14:30,南方中证500ETF(510500.XSHG),买,200,3.479,695.82,5
2013-04-23,14:30,南方中证500ETF(510500.XSHG),买,200,3.418,683.68,5
2013-04-24,14:30,南方中证500ETF(510500.XSHG),买,200,3.458,691.52,5
2013-04-26,14:30,南方中证500ETF(510500.XSHG),买,200,3.379,675.84,5
2013-05-03,14:30,南方中证500ETF(510500.XSHG),买,200,3.451,690.1,5
2013-05-06,14:30,南方中证500ETF(510500.XSHG),买,200,3.511,702.26,5
2013-05-07,14:30,南方中证500ETF(510500.XSHG),买,200,3.515,702.96,5
2013-05-08,14:30,南方中证500ETF(510500.XSHG),买,200,3.544,708.7,5
2013-05-09,14:30,南方中证500ETF(510500.XSHG),买,200,3.544,708.7,5
2013-05-10,14:30,南方中证500ETF(510500.XSHG),买,200,3.572,714.4,5
2013-05-13,14:30,南方中证500ETF(510500.XSHG),买,200,3.586,717.26,5
2013-05-14,14:30,南方中证500ETF(510500.XSHG),买,200,3.547,709.4,5
2013-05-15,14:30,南方中证500ETF(510500.XSHG),买,200,3.583,716.54,5
